[2024-11-24T13:24:29Z DEBUG swayr::shared::cfg] Loading config from /home/blu/.config/swayr/config.toml.
[2024-11-24T13:24:29Z ERROR swayr::daemon] Could not delete socket:
    Os { code: 2, kind: NotFound, message: "No such file or directory" }
[2024-11-24T13:24:29Z DEBUG swayr::daemon] swayrd starts listening on /run/user/1000/swayr-wayland-1.sock.
[2024-11-24T13:24:29Z DEBUG swayr::daemon] Connecting to sway for subscribing to events...
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled workspace event type Empty
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled workspace event type Empty
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:30Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:31Z DEBUG swayr::daemon] Handled workspace event type Empty
